INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] *****************************************************************
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] --- Extensions in dependency order ( options: 
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] ---  @deprecated: is deprecated, p: platform extension,*: auto-required 
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] ---  ?: lazy-loaded, i: got items.xml, b: got beans.xml, c: got core module 
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] ---  w: got web module, h: got HMC module ) 
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] core 5.7.0.3 [p*cib]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] testweb 5.7.0.3 [p*w]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] scripting 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] paymentstandard 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] mediaweb 5.7.0.3 [p*cw]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] maintenanceweb 5.7.0.3 [p*w]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.456 | INFO  [localhost-startStop-1] [hybrisserver] deliveryzone 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] commons 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] processing->(scripting,commons) 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] impex->processing 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] validation->impex 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] catalog->(validation,commons) 5.7.0.3 [p*cib]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] europe1->(impex,catalog) 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] platformservices->(paymentstandard,impex,deliveryzone,europe1,processing) 5.7.0.3 [p*cb]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] workflow->(catalog,platformservices,processing,commons) 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] hac->(impex,catalog,processing,platformservices) 5.7.0.3 [p*w]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] comments->(workflow,impex,catalog,processing) 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] advancedsavedquery->(impex,catalog,processing) 5.7.0.3 [p*ci]
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [Licence] ##########################################################################
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [Licence] This Hybris licence is only for demo or develop usage and is valid for 30 days.
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.457 | INFO  [localhost-startStop-1] [Licence] After this time you have to reinitialize database to continue your work.
STATUS | wrapperm | main    | 2018/01/07 13:43:44.960 | hybris Server 5.7.0.3 started.
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.559 | INFO  [localhost-startStop-1] [Licence] Remaining days ====> 30
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:44.559 | INFO  [localhost-startStop-1] [Licence] ##########################################################################
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:45.762 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<global>> spring config from extension (core) located in (global-core-spring.xml,core-cache.xml,global-servicelayer-spring.xml,global-core-jmx-spring.xml,global-statistics-spring.xml) took: (382.2 ms)
